title,image,price
Double Battery AC/DC Emergency Led Rechargeable Light 20 Watt- Charger Light,https://static-01.daraz.com.bd/p/cd011c332ae9742b659e5326c5024458.jpg_750x750.jpg_.webp,৳ 297
Multiplug Extension 5 Socket With 5\2 meter Cable multi pluge 15 fit and 7 fit black multi plug,https://static-01.daraz.com.bd/p/3142491ab2b79635036f6e63502d2ca2.jpg_750x750.jpg_.webp,৳ 235
1.3 RM non Fireproof and Fireproof cable 1 coil 1.3 rm 3/22 cable Colour red blue black yalow,https://static-01.daraz.com.bd/p/bbc76bdae6d952ac34344798a4315d9e.jpg_750x750.jpg_.webp,৳ 295
Super Model Piano Switch Electric Switch. 12 piece Switch,https://static-01.daraz.com.bd/p/7a4b7308897c33d013dd8188bb28cb34.jpg_750x750.jpg_.webp,৳ 125
"LED Lighte 5 Colour LED Lighte , fen LED Lighte coloring lighte .",https://static-01.daraz.com.bd/p/a6aba2eb6a9fca212557457f78885a27.jpg_750x750.jpg_.webp,৳ 170
1.3 RM non Fireproof and Fireproof cable 1 coil 1.3 rm 3/22 cable Colour red blue black yalow,https://static-01.daraz.com.bd/p/e34bf46efca92d38b17b5def47fdb142.jpg_750x750.jpg_.webp,৳ 317
Electric lotha Cable 50-60 Goj er 1 coil. Electric Lotha Cable whoalsel - Multi Colour,https://static-01.daraz.com.bd/p/1d4b24814ff92ae6656ddecd1fd43664.jpg_750x750.jpg_.webp,৳ 199
"8 Pin Multi Socket 2 PCS. 2 gang Box and Pokka two pin combo Pack , multi plug pack - Multi Plug",https://static-01.daraz.com.bd/p/f092f516e0aa9c6ce1cf1ad2b7c71294.jpg_750x750.jpg_.webp,৳ 199
15 21 30 Fit 23/76 Round Cable Two Core Flexible PVC. Round Insulated PVC 5 7 10 goj Twin Wire 100% Copper gej 18,https://static-01.daraz.com.bd/p/b10751edaa7319b19a00388768e10774.jpg_750x750.jpg_.webp,৳ 90
Electric Pendel Holder ( jhulano Holder) Whoelsale 12 PCS,https://static-01.daraz.com.bd/p/70b05b992eabb5658413550e4c04f215.jpg_750x750.jpg_.webp,৳ 124
"8 Pin Multi Socket 3PCS . 3 gang Box and Pokka two pin combo Pack , multi plug pack",https://static-01.daraz.com.bd/p/b352b23568b3ecc97c7ce496eb25af63.jpg_750x750.jpg_.webp,৳ 285
6 inch Cable Ties (4*150mm) 100 Pcs Zip Wraps Strap Nylon Fastening Ring Loop Wire industrial Cable Tie,https://static-01.daraz.com.bd/p/6fbc41ea1fa1dd70c9e7b6b729de7a61.jpg_750x750.jpg_.webp,৳ 59
Fan Regulator - Electronic Fan Dimmer . Super Star model Ash Colour Regulator 2 pcs,https://static-01.daraz.com.bd/p/c21d739c449ff360d419d338d3c70ee6.jpg_750x750.jpg_.webp,৳ 77
Holder Super Star Model Batten Round 12 PSC ( B 22 Pin),https://static-01.daraz.com.bd/p/98c968628125bcbb5ffa5f7e0bca7d8a.jpg_750x750.jpg_.webp,৳ 216
"LED Light , High Quality lighte 5 fen led light . led lighte AC",https://static-01.daraz.com.bd/p/a2cc4f53440a64e9fb31fce3fc6e9782.jpg_750x750.jpg_.webp,৳ 149
100% Fireproof 2.0 RM Cable 1 Coil . Electric Cable 1 Coil,https://static-01.daraz.com.bd/p/30f50fb1aa2be6bab3dfc9d4b1203935.jpg_750x750.jpg_.webp,৳ 654
20 Watt LED Light . 3 PCS Combo Pack Price,https://static-01.daraz.com.bd/p/b0a1884016a9a66c8113c35a97aacedf.jpg_750x750.jpg_.webp,৳ 250
2 in 1 Screwdriver and Electrical Testing Tester- Double-Head.10 pcs Combo two in tester,https://static-01.daraz.com.bd/p/54688ff8d14a8ef23933bb79ba9d8ce4.jpg_750x750.jpg_.webp,৳ 163
Bulb Base Socket Holder Converter ( Patch to Pin ) 6 pcs,https://static-01.daraz.com.bd/p/b00f36ddf3e0b3ee4e4939964c040b08.jpg_750x750.jpg_.webp,৳ 108
Multi Plug ML-034 Multiplug 4 Port Extention Socket cable Size 2/5 M,https://static-01.daraz.com.bd/p/c068511ddca0c97604a93c301efe1fda.jpg_750x750.jpg_.webp,৳ 137
AC/DC Emergency Led Light-15 Watt High Back Up,https://static-01.daraz.com.bd/p/5c016b37b2bbdd298bb9bb466defdba3.jpg_750x750.jpg_.webp,৳ 191
20 Watt LED Energy Saving Light BULB / LED LIGHT Bulb Pin System White best quality LED Light Bulb |,https://static-01.daraz.com.bd/p/f6b344d4d2b83cc4f76de5de29412e4a.jpg_750x750.jpg_.webp,৳ 98
USB Colour small night lamp 1 PCS / usb light protection small night lamp mini lantern charging treasure lamp small round lampr,https://static-01.daraz.com.bd/p/c59ec280c09a76a789d085dd22d45407.jpg_750x750.jpg_.webp,৳ 57
"Fevecol super glue (5g) 12 Pcs high Qualityful Product ,",https://static-01.daraz.com.bd/p/1286b0b843316feac3ba34e308addd07.jpg_750x750.jpg_.webp,৳ 97
2 Pcs 8 Pin Multi Gang Socket Double 3 Pin- 1Piece 2 Pin Multi Function Universal Wall Switch Socket,https://static-01.daraz.com.bd/p/ca092aa18e957c4e01533b04a6cfc667.jpg_750x750.jpg_.webp,৳ 158
"Electric Lotha Cable 14/76, Lotha Cable 1 Coil, Wholesale Price 1 Coil - Multi Plug - Multi Plug",https://static-01.daraz.com.bd/p/bb049b18d1c347a0a3ea37f11bb60d22.jpg_750x750.jpg_.webp,৳ 217
"5 watt LED Lighte . kolshi Model LED Lighte , 5 watt lighte",https://static-01.daraz.com.bd/p/b7a57bf0929d4331f7b299cf5d162407.jpg_750x750.jpg_.webp,৳ 67
AC DC Backup LED Light 20 Watt Energy Saving Pin Type B-22 AC/DC Rechargeable IPS LED Bulb,https://static-01.daraz.com.bd/p/82f7dbd680fa2f39b0d436ddf9b4119c.jpg_750x750.jpg_.webp,৳ 198
"100% Fireproof 2.0 RM Cable 1 Coil . Electric Cable 1 Coil 50-60 goj 1 red black , multi colour multi brand name , Alumenium Cable Copper Nickel .",https://static-01.daraz.com.bd/p/67364b28232ebfccc9d68dcf92bded23.jpg_750x750.jpg_.webp,৳ 598
"Fan Regulator - Electronic Fan Dimmer / High Speed Fen Reguletor Sarcket 1 pcs ,",https://static-01.daraz.com.bd/p/796aca35c927cccef737f76e44327c64.jpg_750x750.jpg_.webp,৳ 48
"1.3 RM Electric Cable 1 Coil Paikari mulle , 1 coil Medium qulity 1.3 RM Cable.",https://static-01.daraz.com.bd/p/3b66cfeb7fccec55487d05e2b9c536bb.jpg_750x750.jpg_.webp,৳ 357
"1 gang board , 10 pcs combo gang board box",https://static-01.daraz.com.bd/p/58e28f2e68aed0e9d19114083587696e.jpg_750x750.jpg_.webp,৳ 147
LED Dim Light 0.5 watt 3pcs,https://static-01.daraz.com.bd/p/80961d68d6929a328b8d9348cc09d43f.jpg_750x750.jpg_.webp,৳ 77
"Universal 2 Pin Plug Electrical Power Cord Connector . pokka two pin pluge 3 pcs combo pack, pokka tow pin plug",https://static-01.daraz.com.bd/p/7e47d2d06104505de4c99b3b2ed6362a.jpg_750x750.jpg_.webp,৳ 75
Multi Plug Mini Multi Plug 1/2 Fit Longer Cable,https://static-01.daraz.com.bd/p/7496bce36b7a03a649e7a5592bd45e4e.jpg_750x750.jpg_.webp,৳ 98
20 Watt LED Energy Saving BULB / LIGHT Only Pin System White best quality buy 1 get 1 free,https://static-01.daraz.com.bd/p/80cb675eec1e9f7332037711e3774233.jpg_750x750.jpg_.webp,৳ 164
Colourful Led light 9W multicolor led bulb RGB 7 Colour LED Light,https://static-01.daraz.com.bd/p/5312858b0bb2492f1152b945266f5007.jpg_750x750.jpg_.webp,৳ 98
8 Pin Socket With Box (220V 250W 16A ) Multi Function Universal Wall Socket,https://static-01.daraz.com.bd/p/e3d66a4193735619738f9ecf34851ded.jpg_750x750.jpg_.webp,৳ 95
"Mini Multi Plug , 1/2 Fit longer multi plug",https://static-01.daraz.com.bd/p/6a511575b65f4d1ea0cb248f0c4b64f1.jpg_750x750.jpg_.webp,৳ 54
Multi Plug ML-017 Multiplug 4 Port Extention Socket 2/5 M Cable,https://static-01.daraz.com.bd/p/7e0ca55e2102a9cffcb28aeb777bb05b.jpg_750x750.jpg_.webp,৳ 94
Double Battery AC/DC Emergency Led Rechargeable Light 20 Watt- Charger Light,https://static-01.daraz.com.bd/p/cd011c332ae9742b659e5326c5024458.jpg_750x750.jpg_.webp,৳ 297
Multiplug Extension 5 Socket With 5\2 meter Cable multi pluge 15 fit and 7 fit black multi plug,https://static-01.daraz.com.bd/p/3142491ab2b79635036f6e63502d2ca2.jpg_750x750.jpg_.webp,৳ 235
1.3 RM non Fireproof and Fireproof cable 1 coil 1.3 rm 3/22 cable Colour red blue black yalow,https://static-01.daraz.com.bd/p/bbc76bdae6d952ac34344798a4315d9e.jpg_750x750.jpg_.webp,৳ 295
Super Model Piano Switch Electric Switch. 12 piece Switch,https://static-01.daraz.com.bd/p/7a4b7308897c33d013dd8188bb28cb34.jpg_750x750.jpg_.webp,৳ 125
"LED Lighte 5 Colour LED Lighte , fen LED Lighte coloring lighte .",https://static-01.daraz.com.bd/p/a6aba2eb6a9fca212557457f78885a27.jpg_750x750.jpg_.webp,৳ 170
1.3 RM non Fireproof and Fireproof cable 1 coil 1.3 rm 3/22 cable Colour red blue black yalow,https://static-01.daraz.com.bd/p/e34bf46efca92d38b17b5def47fdb142.jpg_750x750.jpg_.webp,৳ 317
Electric lotha Cable 50-60 Goj er 1 coil. Electric Lotha Cable whoalsel - Multi Colour,https://static-01.daraz.com.bd/p/1d4b24814ff92ae6656ddecd1fd43664.jpg_750x750.jpg_.webp,৳ 199
"8 Pin Multi Socket 2 PCS. 2 gang Box and Pokka two pin combo Pack , multi plug pack - Multi Plug",https://static-01.daraz.com.bd/p/f092f516e0aa9c6ce1cf1ad2b7c71294.jpg_750x750.jpg_.webp,৳ 199
15 21 30 Fit 23/76 Round Cable Two Core Flexible PVC. Round Insulated PVC 5 7 10 goj Twin Wire 100% Copper gej 18,https://static-01.daraz.com.bd/p/b10751edaa7319b19a00388768e10774.jpg_750x750.jpg_.webp,৳ 90
Electric Pendel Holder ( jhulano Holder) Whoelsale 12 PCS,https://static-01.daraz.com.bd/p/70b05b992eabb5658413550e4c04f215.jpg_750x750.jpg_.webp,৳ 124
"8 Pin Multi Socket 3PCS . 3 gang Box and Pokka two pin combo Pack , multi plug pack",https://static-01.daraz.com.bd/p/b352b23568b3ecc97c7ce496eb25af63.jpg_750x750.jpg_.webp,৳ 285
6 inch Cable Ties (4*150mm) 100 Pcs Zip Wraps Strap Nylon Fastening Ring Loop Wire industrial Cable Tie,https://static-01.daraz.com.bd/p/6fbc41ea1fa1dd70c9e7b6b729de7a61.jpg_750x750.jpg_.webp,৳ 59
Fan Regulator - Electronic Fan Dimmer . Super Star model Ash Colour Regulator 2 pcs,https://static-01.daraz.com.bd/p/c21d739c449ff360d419d338d3c70ee6.jpg_750x750.jpg_.webp,৳ 77
Holder Super Star Model Batten Round 12 PSC ( B 22 Pin),https://static-01.daraz.com.bd/p/98c968628125bcbb5ffa5f7e0bca7d8a.jpg_750x750.jpg_.webp,৳ 216
"LED Light , High Quality lighte 5 fen led light . led lighte AC",https://static-01.daraz.com.bd/p/a2cc4f53440a64e9fb31fce3fc6e9782.jpg_750x750.jpg_.webp,৳ 149
100% Fireproof 2.0 RM Cable 1 Coil . Electric Cable 1 Coil,https://static-01.daraz.com.bd/p/30f50fb1aa2be6bab3dfc9d4b1203935.jpg_750x750.jpg_.webp,৳ 654
20 Watt LED Light . 3 PCS Combo Pack Price,https://static-01.daraz.com.bd/p/b0a1884016a9a66c8113c35a97aacedf.jpg_750x750.jpg_.webp,৳ 250
2 in 1 Screwdriver and Electrical Testing Tester- Double-Head.10 pcs Combo two in tester,https://static-01.daraz.com.bd/p/54688ff8d14a8ef23933bb79ba9d8ce4.jpg_750x750.jpg_.webp,৳ 163
Bulb Base Socket Holder Converter ( Patch to Pin ) 6 pcs,https://static-01.daraz.com.bd/p/b00f36ddf3e0b3ee4e4939964c040b08.jpg_750x750.jpg_.webp,৳ 108
Multi Plug ML-034 Multiplug 4 Port Extention Socket cable Size 2/5 M,https://static-01.daraz.com.bd/p/c068511ddca0c97604a93c301efe1fda.jpg_750x750.jpg_.webp,৳ 137
AC/DC Emergency Led Light-15 Watt High Back Up,https://static-01.daraz.com.bd/p/5c016b37b2bbdd298bb9bb466defdba3.jpg_750x750.jpg_.webp,৳ 191
20 Watt LED Energy Saving Light BULB / LED LIGHT Bulb Pin System White best quality LED Light Bulb |,https://static-01.daraz.com.bd/p/f6b344d4d2b83cc4f76de5de29412e4a.jpg_750x750.jpg_.webp,৳ 98
USB Colour small night lamp 1 PCS / usb light protection small night lamp mini lantern charging treasure lamp small round lampr,https://static-01.daraz.com.bd/p/c59ec280c09a76a789d085dd22d45407.jpg_750x750.jpg_.webp,৳ 57
"Fevecol super glue (5g) 12 Pcs high Qualityful Product ,",https://static-01.daraz.com.bd/p/1286b0b843316feac3ba34e308addd07.jpg_750x750.jpg_.webp,৳ 97
